Team,FPI,Division
Los Angeles Rams,6.2,NFC West
Seattle Seahawks,5.8,NFC West
Detroit Lions,3.8,NFC North
Philadelphia Eagles,3.8,NFC East
Green Bay Packers,3.7,NFC North
Baltimore Ravens,3.3,AFC North
Buffalo Bills,3.2,AFC East
Houston Texans,3.1,AFC South
San Francisco 49ers,3,NFC West
Jacksonville Jaguars,2.7,AFC South
Denver Broncos,2.5,AFC West
New England Patriots,2.4,AFC East
Los Angeles Chargers,2.1,AFC West
Cincinatti Bengals,1.6,AFC North
Chicago Bears,0.6,NFC North
New York Giants,0.1,NFC East
Pittsburgh Steelers,-0.2,AFC North
Dallas Cowboys,-1.3,NFC East
Tampa Bay Buccaneers,-1.7,NFC South
Kansas City Chiefs,-1.9,AFC West
Indianapolis Colts,-2.4,AFC South
Washington Commanders,-3.1,NFC East
New Orleans Saints,-3.3,NFC South
Atlanta Falcons,-3.9,NFC South
Carolina Panthers,-4.1,NFC South
Arizona Cardinals,-5,NFC West
Minnesota Vikings,-6.7,NFC North
Las Vegas Raiders,-7,AFC West
Tennessee Titans,-8.6,AFC South
New York Jets,-9.3,AFC East
Miami Dolphins,-9.7,AFC East
Cleveland Browns,-9.9,AFC North
