Team,FPI,Division
Seattle Seahawks,8.8,NFC West
Arizona Cardinals,8.3,NFC West
Carolina Panthers,7.9,NFC South
New England Patriots,7.2,AFC East
Pittsburgh Steelers,7.1,AFC North
Kansas City Chiefs,6.8,AFC West
Denver Broncos,5.9,AFC West
Cincinnati Bengals,4.1,AFC North
Green Bay Packers,3.6,NFC North
New York Jets,3.6,AFC East
Minnesota Vikings,2.8,NFC North
Buffalo Bills,1.7,AFC East
Houston Texans,-0.2,AFC South
Indianapolis Colts,-1.4,AFC South
Philadelphia Eagles,-1.6,NFC East
Detroit Lions,-2.0,NFC North
Atlanta Falcons,-2.1,NFC South
New York Giants,-2.1,NFC East
Las Vegas Raiders,-2.2,AFC West
Baltimore Ravens,-2.6,AFC North
Miami Dolphins,-2.6,AFC East
Chicago Bears,-2.6,NFC North
Los Angeles Chargers,-2.6,AFC West
Washington Commanders,-2.8,NFC East
Tampa Bay Buccaneers,-3.2,NFC South
Los Angeles Rams,-3.8,NFC West
Los Angeles Rams,-3.8,NFC West
New Orleans Saints,-3.9,NFC South
Dallas Cowboys,-4.2,NFC East
Jacksonville Jaguars,-4.6,AFC South
Cleveland Browns,-6.7,AFC North
Tennessee Titans,-8.2,AFC South
San Francisco 49ers,-8.3,NFC West
