Team,FPI,Division_x,Division_y
Arizona Cardinals,-12.9,NFC West,NFC West
Atlanta Falcons,2.7,NFC South,NFC South
Baltimore Ravens,2.6,AFC North,AFC North
Buffalo Bills,-4.2,AFC East,AFC East
Carolina Panthers,-1.6,NFC South,NFC South
Chicago Bears,4.9,NFC North,NFC North
Cincinnati Bengals,-5.1,AFC North,AFC North
Cleveland Browns,-4.0,AFC North,AFC North
Dallas Cowboys,2.8,NFC East,NFC East
Denver Broncos,-0.6,AFC West,AFC West
Detroit Lions,-3.0,NFC North,NFC North
Green Bay Packers,2.2,NFC North,NFC North
Houston Texans,2.9,AFC South,AFC South
Indianapolis Colts,4.2,AFC South,AFC South
Jacksonville Jaguars,-2.1,AFC South,AFC South
Kansas City Chiefs,8.5,AFC West,AFC West
Las Vegas Raiders,-7.6,AFC West,AFC West
Los Angeles Chargers,6.8,AFC West,AFC West
Los Angeles Rams,7.4,NFC West,NFC West
Los Angeles Rams,7.4,NFC West,NFC West
Los Angeles Rams,7.4,NFC West,NFC West
Los Angeles Rams,7.4,NFC West,NFC West
Miami Dolphins,-8.3,AFC East,AFC East
Minnesota Vikings,2.7,NFC North,NFC North
New England Patriots,6.9,AFC East,AFC East
New Orleans Saints,7.9,NFC South,NFC South
New York Giants,-1.3,NFC East,NFC East
New York Jets,-8.5,AFC East,AFC East
Philadelphia Eagles,2.6,NFC East,NFC East
Pittsburgh Steelers,5.5,AFC North,AFC North
San Francisco 49ers,-5.8,NFC West,NFC West
Seattle Seahawks,4.2,NFC West,NFC West
Tampa Bay Buccaneers,-1.3,NFC South,NFC South
Tennessee Titans,-2.8,AFC South,AFC South
Washington Commanders,-5.8,NFC East,NFC East
